date,Momentum-20d,MeanReversion-20d/1σ,RSI-14d(oversold<40),BollingerBands-20d/2σ,SMACross-10/30d,Buy&Hold
2023-02-06,1380355.0472667885,1318436.2608785133,910592.3826701014,1190854.408891238,1280044.2100483608,1345004.6238719344
2023-02-07,1451306.9592226516,1318436.2608785133,910592.3826701014,1190854.408891238,1345840.0241548817,1414139.4814885678
2023-02-08,1453401.4806088025,1318436.2608785133,910592.3826701014,1190854.408891238,1347782.3360104247,1416180.3628942247
2023-02-09,1462041.3813266752,1318436.2608785133,910592.3826701014,1190854.408891238,1355794.3724145398,1424598.9986925602
2023-02-10,1391874.9148906188,1318436.2608785133,910592.3826701014,1190854.408891238,1290726.9252538474,1356229.4716030485
2023-02-13,1426107.2487955233,1318436.2608785133,910592.3826701014,1190854.408891238,1322471.5846428792,1389585.1270767562
2023-02-14,1503539.086289791,1318436.2608785133,910592.3826701014,1190854.408891238,1394276.4260524865,1465033.961542141
2023-02-15,1489990.1510731268,1318436.2608785133,910592.3826701014,1190854.408891238,1381712.0962369423,1451832.0099492967
2023-02-16,1440114.3605654074,1318436.2608785133,910592.3826701014,1190854.408891238,1335460.7951768232,1403233.5214770876
2023-02-17,1399925.7314686363,1318436.2608785133,910592.3826701014,1190854.408891238,1298192.6864485908,1364074.109506043
2023-02-21,1351948.1009671162,1318436.2608785133,910592.3826701014,1190854.408891238,1253701.6055075577,1317325.1698077107
2023-02-22,1358428.0265055206,1318436.2608785133,910592.3826701014,1190854.408891238,1259710.6328106439,1323639.1466564622
2023-02-23,1548898.5650586218,1318436.2608785133,910592.3826701014,1190854.408891238,1436339.6171740906,1509231.799483402
2023-02-24,1524157.0311847138,1318436.2608785133,910592.3826701014,1190854.408891238,1413396.058380488,1485123.8878790778
2023-02-27,1538229.5967479155,1318436.2608785133,910592.3826701014,1190854.408891238,1426445.966159918,1498836.059823336
2023-02-28,1519575.2656525085,1318436.2608785133,910592.3826701014,1190854.408891238,1409147.2511964878,1480659.459804203
2023-03-01,1485670.20071419,1318436.2608785133,910592.3826701014,1190854.408891238,1377706.0780348845,1447622.6920501292
2023-03-02,1525989.7373975955,1318436.2608785133,910592.3826701014,1190854.408891238,1415095.5812540883,1486909.6591090276
2023-03-03,1563691.1223483128,1318436.2608785133,910592.3826701014,1190854.408891238,1450057.1946538636,1523645.5244108548
2023-03-06,1541698.6477937277,1318436.2608785133,910592.3826701014,1190854.408891238,1429662.9201706613,1502216.2696514556
2023-03-07,1524287.938771348,1318436.2608785133,910592.3826701014,1190854.408891238,1413517.4528714598,1485251.4429669313
2023-03-08,1582738.176203623,1318436.2608785133,910592.3826701014,1190854.408891238,1467720.0930902082,1542204.7896935488
2023-03-09,1533975.1001822962,1318436.2608785133,910592.3826701014,1190854.408891238,1422500.6452033464,1494690.5194680954
2023-03-10,1503146.363529887,1318436.2608785133,910592.3826701014,1190854.408891238,1393912.2425795721,1464651.2962785803
2023-03-13,1503211.8173232044,1318436.2608785133,910592.3826701014,1190854.408891238,1393972.939825058,1464715.073822507
2023-03-14,1575014.628592191,1318436.2608785133,910592.3826701014,1190854.408891238,1460557.818122893,1534679.0395101884
2023-03-15,1585814.504489532,1318436.2608785133,910592.3826701014,1190854.408891238,1470572.863628037,1545202.334258108
2023-03-16,1671755.3351150379,1318436.2608785133,910592.3826701014,1190854.408891238,1550268.346950788,1628942.2494339743
2023-03-17,1683798.8330854059,1318436.2608785133,910592.3826701014,1190854.408891238,1561436.6401201608,1640677.3175165025
2023-03-20,1695253.2469159185,1318436.2608785133,910592.3826701014,1190854.408891238,1572058.6580801615,1651838.3877036893
2023-03-21,1714823.9311177668,1318436.2608785133,910592.3826701014,1190854.408891238,1590207.1344803923,1670907.8733377978
2023-03-22,1732431.0015200982,1318436.2608785133,910592.3826701014,1190854.408891238,1606534.6935160512,1688064.0326541024
