date,SMAcross-20/50(equal-wt),SMAcross-20/50(risk-adj),TopK-Momentum-30d/K10(equal-wt),TopK-Momentum-30d/K10(risk-adj),NDX100-EqualWeight-BH
2022-10-28,809556.0183380416,874499.5887883939,855611.2294338875,860425.205201404,1049831.175265806
2022-10-31,810372.2076354228,876379.2415042928,853260.2255518712,860564.7917338121,1040190.8214432893
2022-11-01,808522.7554989379,875197.0490588271,849060.1432368162,859306.903562397,1040546.2762726425
2022-11-02,788103.3983355669,856415.1401029158,825587.4382928527,837839.3014492398,1007900.0305905483
2022-11-03,782753.6595642025,852200.1300641339,827854.9328141679,842477.0943666112,996425.759428916
2022-11-04,792440.4289973164,863671.2250283313,843609.5737328478,856094.380101318,1007944.3760444964
2022-11-07,796095.3638899011,869977.2710084609,853054.1010934181,868594.2244148602,1016717.0417571281
2022-11-08,796519.7799077359,872144.336137244,843308.3769047474,871309.33191665,1024760.3656492061
2022-11-09,783880.1438825104,861759.7982321163,842449.7408246899,872093.0812512791,1003382.414889104
2022-11-10,823361.1596048377,898824.1089031006,873767.7747654726,900362.4804501737,1074474.155712073
2022-11-11,830061.7547842473,900583.3461110343,891552.5870306886,917177.5149461781,1094282.3372018943
2022-11-14,822149.0792046856,893232.2797798972,872987.3283001222,899232.3826518089,1081264.5566565732
2022-11-15,834323.2524081436,904030.0123930073,894345.4945894567,919549.706310698,1100115.4767498404
2022-11-16,822706.0068736546,895565.3982329256,878838.5704609706,905295.617635287,1079398.9477878015
2022-11-17,820431.4559823475,894517.8725109781,871345.9551157578,899583.5617627361,1073501.4339723182
2022-11-18,822728.1105915714,898799.6254518429,860972.7239489157,891126.6104400863,1075967.7729926049
2022-11-21,817629.3119532203,897149.3658442451,853296.1209029241,884694.5838812009,1065130.3448167515
2022-11-22,829526.7878397872,909251.37976088,868837.0016050526,900987.0620058445,1079152.2171820023
2022-11-23,834130.4912026176,912823.0431895094,881370.2944865237,912199.348628148,1089858.1924399743
2022-11-25,831113.7477037308,910773.9996621178,873128.6237197755,904204.042524141,1086521.7729876908
2022-11-28,820813.7113004025,900873.0443311702,863993.227711969,893932.2908388888,1072780.3047269757
2022-11-29,818409.020941911,898183.6446617256,862646.4627468033,891645.5885974762,1068205.5808751262
2022-11-30,849091.7859135407,925713.836634772,908120.4409184238,935649.3045799815,1109034.5580286547
2022-12-01,851280.3454898951,927443.7339909645,915091.7354897828,940917.4007862762,1115894.5589062502
2022-12-02,848757.1918734696,926438.5668214951,912846.7663347111,939153.4988718517,1111732.4358226953
2022-12-05,834183.2197651108,911999.5746437808,899535.3979346388,926746.3862620821,1088504.6294591755
2022-12-06,821621.6575529289,901037.3296017466,875512.2095501379,909526.3459669863,1067692.3261147176
2022-12-07,821590.6931280161,901398.2929638204,876716.8854624578,910178.7103423936,1066388.8792875796
2022-12-08,831816.370235853,909614.0100297555,898248.4675616499,930184.4160317563,1080818.032005096
2022-12-09,825079.9746827353,901689.5583863371,886452.7740548439,917357.238378287,1074118.7904595989
2022-12-12,837301.870356395,914326.6972805092,896125.9598708333,928674.9230495777,1089391.6744441418
2022-12-13,843445.3454350692,918278.1438730549,912369.6128258212,945401.5530626578,1097976.1201349455
2022-12-14,836141.0492207075,911602.9594577294,905318.5125741089,936357.2526983287,1090179.7405308618
2022-12-15,808680.5440466007,884609.1376356197,866835.6672032779,896230.5051651788,1054144.4709621877
2022-12-16,804061.3093250997,880354.1984304356,861060.790653983,890924.2620723477,1046442.8299033555
2022-12-19,796334.069184317,873508.246349463,849685.9470851177,881342.1268257635,1033227.1237906407
2022-12-20,797390.3572905582,874115.8054721089,851607.0734531826,882857.6520311454,1033847.1200557804
2022-12-21,809673.2510090596,886251.5032552717,862779.1828137712,895128.3979303415,1047586.0676614058
2022-12-22,793718.2887101113,872171.4701881605,835643.7303437924,869113.5649540102,1026005.5292887173
2022-12-23,795697.0872422915,875353.7217031461,834874.8312338567,871258.1058281404,1028351.9786806575
2022-12-27,790317.1318106854,872744.3273403544,831256.1163584539,871421.6194924575,1018632.2683597024
2022-12-28,781120.1375243233,863287.7159049986,821643.7729230865,862500.1415488727,1006620.8321438226
2022-12-29,798302.3101436936,878511.1311570246,832458.3026632745,871517.8231087324,1031436.659075164
2022-12-30,795930.7384913979,875685.6080128707,831243.0479557049,870761.9927762767,1030062.0667229476
2023-01-03,794398.2470362425,874318.4026169521,828613.0902526741,868700.971909826,1025813.6382028273
2023-01-04,806543.082452886,884722.4144775635,844538.4902130443,883288.4561273983,1042180.8293219903
2023-01-05,794061.8418153941,871580.6544177139,841870.7712714633,878767.8634093137,1026182.5305116054
2023-01-06,816113.6246780735,895422.9211943132,851795.2043887546,889582.3280193942,1052497.9538532672
2023-01-09,817996.6304578546,895250.3494995842,850897.9574584258,888428.7557147848,1059162.7271426723
2023-01-10,824851.2540336867,900477.0334519016,856846.3608551425,891410.1675128149,1068677.7232273004
2023-01-11,830088.59373398,906752.3814218086,857463.0338445099,893667.5456091617,1083671.3123413776
2023-01-12,830723.5400791082,905020.7060627503,870442.3391523904,905666.0733788965,1089886.3817530707
2023-01-13,836187.7185325377,910022.8794714244,887836.1279286691,923684.1962401939,1097494.206101583
2023-01-17,833757.6811608041,908252.2570277944,894351.6506840229,925476.6421676105,1099252.0759366548
2023-01-18,819313.1141990329,891369.2558878696,871087.3570176174,905120.667632244,1083082.2512890159
2023-01-19,814181.5527052112,884976.9305861171,865565.7148008229,900658.476816623,1072184.299651537
2023-01-20,831360.053528762,900405.0911527573,896073.398315268,927057.3521642894,1100578.6708463267
2023-01-23,843631.0549414686,911669.4741750786,922881.4878719201,955775.4460534811,1125959.165476478
2023-01-24,842169.9827611903,911106.9118906378,916081.6319796905,949514.7522691964,1122817.3698698357
2023-01-25,845911.1932252266,913610.2192014277,924481.8407078695,955526.1600425728,1123627.303142693
2023-01-26,860131.7884836951,925884.4862930517,943815.8063603307,976815.9523253883,1142087.8319004457
2023-01-27,861308.3286060955,924529.483288905,959959.5451527423,992314.5142287111,1145736.1975682839
2023-01-30,843759.0276528577,909678.4995015507,924684.8594818817,960186.2349247154,1125482.9378622123
2023-01-31,856162.1885645188,921592.3454291455,937153.1252760853,968193.6864071814,1143065.581348383
2023-02-01,878616.2460154518,939378.3410391528,963825.4177905051,990773.7900043587,1168765.7320700581
2023-02-02,899992.8695452001,956774.2777174069,1024748.5369962811,1060462.0975614146,1193219.4251830152
2023-02-03,880346.425120191,937950.9967554826,994491.9296484544,1029078.5009263696,1170371.102136062
2023-02-06,871245.1265822494,929478.0893822405,983267.6441689377,1016967.4513282028,1159737.0958684632
2023-02-07,885178.070806108,941454.8769473137,991072.9271871108,1024387.5853262657,1176504.9865886543
2023-02-08,869960.2855767901,926408.7018751092,971645.164442414,1004766.9697965267,1160238.0629521906
2023-02-09,867073.5864996392,922502.403657307,954026.47126128,987917.6754246729,1156159.513427822
2023-02-10,859720.6175162601,918613.1467181125,924150.3767784169,956718.1982292274,1152439.4688449863
2023-02-13,872491.0699047664,931823.6515170347,942778.5181429962,975026.9183061091,1168179.4512776774
2023-02-14,886684.1485535877,943208.6978426815,973979.715364615,1007119.3501366358,1180907.562771808
2023-02-15,901467.4969267602,955330.6193237983,1024112.2986279093,1059474.6122143583,1197037.2922094907
2023-02-16,879075.0481243972,936124.0089852607,973255.344404094,1009465.5600732784,1173186.4395633866
2023-02-17,869086.3322906152,927831.9343490055,950450.47257923,986990.0192137016,1164799.3155967386
2023-02-21,846626.5680035205,907118.3617499914,909445.3536509989,946117.9298510326,1137566.4332722917
2023-02-22,850936.0244722317,910290.8761494634,921123.1755120797,958409.8954957115,1139278.0030401738
2023-02-23,858056.4161368321,917419.920468734,929629.0630625642,974748.1712452527,1146144.5639813885
2023-02-24,843826.6537485097,903826.2218761594,908068.5967787646,952141.7591311854,1129759.8290443583
2023-02-27,848595.8313627891,908942.2673594087,915709.5784239358,965232.2887587893,1134240.2790912087
2023-02-28,848917.1393966541,908557.601512668,917586.4185061865,965538.7569203398,1132165.0093656527
